Unnamed: 0,Color,Name,Hex Code,Pack Added
1,,Alloy Orange,#C46210,
2,,B'dazzled Blue,#2E5894,
3,,Big Dip O' Ruby,#9C2542,96
4,,Bittersweet Shimmer,#BF4F51,
5,,Blast Off Bronze,#A57164,
6,,Cyber Grape,#58427C,96
7,,Deep Space Sparkle,#4A646C,
8,,Gold Fusion,#85754E,
9,,Illuminating Emerald,#319177,
10,,Metallic Seaweed,#0A7E8C,
11,,Robot Canary,#9C7C38,Metallic Sunburst
12,,Razzmic Berry,#8D4E85,
13,,Sheen Green,#8FD400,96
14,,Shimmering Blush,#D98695,
15,,Sonic Silver,#757575,
16,,Steel Blue,#0081AB,96
17,,Cheese Grater,unknown,
18,,Iron Indigo,unknown,
19,,Magnetic Magenta,unknown,
20,,Cobalt Cool,unknown,
21,,Acid Wash Jeans,unknown,
22,,Petrified Forest,unknown,
23,,Rose Gold,unknown,
24,,Gold Medal,unknown,
