Color,Scent Name,Color Name,Hex Code
,Alien Armpit,Yellow Green,#C5E17A
,Big Foot Feet,Tan,#D99A6C
,Booger Buster,Spring Green,#ECEBBD
,Dingy Dungeon,Maroon,#C32148
,Gargoyle Gas,Dandelion,#FED85D
,Giant's Club,Chestnut,#B94E48
,Magic Potion,Red,#ED0A3F
,Mummy's Tomb,Gray,#8B8680
,Ogre Odor,Red Orange,#FF681F
,Pixie Powder,Blue Violet,#6456B7
,Princess Perfume,Tickle Me Pink,#FC80A5
,Sasquatch Socks,Violet Red,#F7468A
,Sea Serpent,Robin's Egg Blue,#00CCCC
,Smashed Pumpkin,Orange,#FF8833
,Sunburnt Cyclops,Mango Tango,#E77200
,Winter Wizard,Sky Blue,#76D7EA
