Color,Name,Hexadecimal,Notes
,Radical Red,#FF355E[1],Introduced in 1990.
,Wild Watermelon,#FD5B78[1],"Same color as ""Ultra Red"" (1972–1990)."
,Outrageous Orange,#FF6037[1],"Same color as ""Ultra Orange"" (1972–1990)."
,Atomic Tangerine,#FF9966[1],"Same color as ""Ultra Yellow"" (1972–1990)."
,Neon Carrot,#FF9933[1],Introduced in 1990.
,Sunglow,#FFCC33[1],Introduced in 1990.
,Laser Lemon,#FFFF66[1],"Same color as ""Chartreuse"" (1972–1990)."
,Unmellow Yellow,#FFFF66[1][c],Introduced in 1990.
,Electric Lime,#CCFF00[1],Introduced in 1990.
,Screamin' Green,#66FF66[1],"Same color as ""Ultra Green"" (1972–1990)."
,Magic Mint,,Produced 1990–2003.
,Blizzard Blue,,"Same color as ""Ultra Blue"" (1972–1990). Retired in 2003."
,Shocking Pink,#FF6EFF[1],"Same color as ""Ultra Pink"" (1972–1990)."
,Razzle Dazzle Rose,,"Same color as ""Hot Magenta"" (1972–1990)."
,Hot Magenta,#FF00CC[1][d],Introduced in 1990.
,Purple Pizzazz,#FF00CC[1][e],Introduced in 1990.
